559	2014.06.16	12:27:14.561	6	213	0065-0136670531	
561	2014.06.16	12:27:14.784	6	1666	0065-0136670531	
565	2014.06.16	12:27:22.621	5	1124	0065-0136651817	
569	2014.06.16	12:27:23.906	6	1203	0065-0136651817	
575	2014.06.16	12:27:30.097	8	404	0065-0136659459	
576	2014.06.16	12:27:31.046	6	516	0065-0136659288	
577	2014.06.16	12:27:31.678	5	1492	0065-0136659288	
578	2014.06.16	12:27:30.691	7	2756	0065-0136659459	
579	2014.06.16	12:27:34.450	6	407	0065-0136659459	
580	2014.06.16	12:27:34.602	8	610	0065-0136665886	
582	2014.06.16	12:27:34.906	5	933	0065-0136659459	
586	2014.06.16	12:27:35.262	7	1985	0065-0136665886	
592	2014.06.16	12:27:40.040	6	1122	0065-0136667521	
593	2014.06.16	12:27:40.752	8	411	0065-0136671473	
596	2014.06.16	12:27:39.666	5	2008	0065-0136661759	
598	2014.06.16	12:27:41.854	5	2395	0065-0136667521	
600	2014.06.16	12:27:41.238	7	4071	0065-0136671473	
604	2014.06.16	12:27:47.340	6	214	0065-0136671473	
607	2014.06.16	12:27:47.940	5	617	0065-0136667521	
610	2014.06.16	12:27:48.634	6	3585	0065-0136667521	
611	2014.06.16	12:27:51.849	7	509	0065-0136671473	
612	2014.06.16	12:27:52.900	6	520	0065-0136665886	
613	2014.06.16	12:27:52.333	8	2288	0065-0136671473	
616	2014.06.16	12:27:53.499	5	2842	0065-0136665886	
620	2014.06.16	12:27:58.320	7	315	0065-0136667521	
622	2014.06.16	12:28:00.879	5	309	0065-0136655780	
623	2014.06.16	12:28:01.238	6	418	0065-0136655780	
624	2014.06.16	12:28:01.278	5	458	0065-0136665886	
625	2014.06.16	12:28:01.781	6	795	0065-0136665886	
626	2014.06.16	12:28:03.641	7	341	0065-0136670531	
627	2014.06.16	12:27:58.786	8	5353	0065-0136667521	
629	2014.06.16	12:28:04.329	8	717	0065-0136670531	
632	2014.06.16	12:28:07.093	7	524	0065-0136655780	
633	2014.06.16	12:28:08.372	7	504	0065-0136665886	
634	2014.06.16	12:28:08.962	8	948	0065-0136665886	
645	2014.06.16	12:28:16.949	8	407	0065-0136655780	
650	2014.06.16	12:28:17.432	7	1026	0065-0136655780	
651	2014.06.16	12:28:18.754	5	409	0065-0136665886	
652	2014.06.16	12:28:19.082	6	722	0065-0136665886	
